Experiment,Model,Similarity,Normalize,OutputFile,MAP,nDCG@5,P@1,P@5,P@10,Recall@5,Recall@10,MRR,bpref
MiniLM-cosine,sentence-transformers/all-MiniLM-L6-v2,cosine,True,results/task1_retrieval/english/dense_results_minilm_cosine.json,0.05127503419681086,0.07767350709234823,0.08333333333333333,0.08333333333333333,0.125,0.002430902430902431,0.04208745352362373,0.16580563742797785,0.037143734557713706
MPNet-cosine,sentence-transformers/all-mpnet-base-v2,cosine,True,results/task1_retrieval/english/dense_results_mpnet_cosine.json,0.03144694924908573,0.012172362486892204,0.0,0.016666666666666666,0.06666666666666667,0.00022893772893772896,0.03285418285418285,0.07849982072867386,0.025825994072959782
BGE-base-dot,BAAI/bge-base-en-v1.5,dot,True,results/task1_retrieval/english/dense_results_bge_dot.json,0.013286117973864675,0.017832188727877295,0.0,0.016666666666666666,0.03333333333333333,0.00022893772893772896,0.0009157509157509159,0.063486050986051,0.013139613255751331
E5-base-dot,intfloat/e5-base-v2,dot,True,results/task1_retrieval/english/dense_results_e5_dot.json,0.011275135736308416,0.023106118946254018,0.0,0.03333333333333333,0.049999999999999996,0.00045787545787545793,0.0032814407814407815,0.04676206499992099,0.016308821146414233
