,MAP,nDCG@5,P@1,P@5,P@10,Recall@5,Recall@10,MRR,bpref,ResultQueries,LabeledQueries,LabeledQueryCoverage
BM25,0.13236354517353943,0.24310156773148453,0.25,0.25,0.21666666666666667,0.07450919844536864,0.12681198824815845,0.4230769230769231,0.12986141864910594,219.0,12.0,1.0
RM3,0.11124258294389928,0.2604311617115907,0.4166666666666667,0.23333333333333336,0.19166666666666668,0.057505831442001644,0.10094202487819508,0.47468102073365226,0.09356840153259856,219.0,12.0,1.0
Dense,0.037874741942731875,0.07767350709234823,0.08333333333333333,0.08333333333333333,0.125,0.002430902430902431,0.04208745352362373,0.16580563742797785,0.031467081665151726,219.0,12.0,1.0
Dense-Minilm-Cosine,0.05127503419681086,0.07767350709234823,0.08333333333333333,0.08333333333333333,0.125,0.002430902430902431,0.04208745352362373,0.16580563742797785,0.037143734557713706,219.0,12.0,1.0
Hybrid,0.13073595081547926,0.23216781127212271,0.25,0.23333333333333336,0.21666666666666667,0.06524993918610938,0.12681198824815845,0.4216880341880342,0.12558979138103066,219.0,12.0,1.0
Hybrid-Tuned,0.13073595081547926,0.23216781127212271,0.25,0.23333333333333336,0.21666666666666667,0.06524993918610938,0.12681198824815845,0.4216880341880342,0.12558979138103066,219.0,12.0,1.0
Cross-Encoder,0.32423923535562343,0.7216199508353692,0.8333333333333334,0.6833333333333332,0.525,0.24333842871076916,0.3348557077280481,0.8333333333333334,0.3274957625811677,219.0,12.0,1.0
Cross-Encoder+RAG,0.32423923535562343,0.7216199508353692,0.8333333333333334,0.6833333333333332,0.525,0.24333842871076916,0.3348557077280481,0.8333333333333334,0.3274957625811677,219.0,12.0,1.0
